actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
,,129.0,256.0,,1.972869,1.972869,0.0,129.0,0.504111,,,,,,,,129.0,0.308594
0.042433,-0.279494,130.0,256.0,10.852313,1.986229,1.986229,0.0,130.0,,1.710368,0.119186,0.021845,10.0,0.218445,-0.497939,-0.497939,130.0,
,,131.0,256.0,,1.829748,1.829748,0.0,131.0,0.535647,,,,,,,,131.0,0.328125
0.038714,-0.259177,132.0,256.0,18.116278,2.004568,2.004568,0.0,132.0,,2.641656,0.12415,0.027201,10.0,0.272011,-0.531188,-0.531188,132.0,
,,133.0,256.0,,2.243952,2.243952,0.0,133.0,0.518241,,,,,,,,133.0,0.269531
0.050311,-0.257141,134.0,256.0,12.097699,1.97044,1.97044,0.0,134.0,,1.603073,0.126267,0.02703,10.0,0.270302,-0.527443,-0.527443,134.0,
,,135.0,256.0,,2.140532,2.140532,0.0,135.0,0.497676,,,,,,,,135.0,0.3125
0.042213,-0.270587,136.0,256.0,10.50551,1.900494,1.900494,0.0,136.0,,1.719627,0.123572,0.026479,10.0,0.264789,-0.535376,-0.535376,136.0,
,,137.0,256.0,,2.041317,2.041317,0.0,137.0,0.488905,,,,,,,,137.0,0.308594
0.053445,-0.289829,138.0,256.0,7.698825,2.030854,2.030854,0.0,138.0,,2.097717,0.11748,0.022794,10.0,0.227941,-0.51777,-0.51777,138.0,
,,139.0,256.0,,1.945398,1.945398,0.0,139.0,0.438317,,,,,,,,139.0,0.25
0.050636,-0.131974,140.0,256.0,10.962663,1.904448,1.904448,0.0,140.0,,2.075359,0.134396,0.034076,10.0,0.340757,-0.472732,-0.472732,140.0,
,,141.0,256.0,,2.230364,2.230364,0.0,141.0,0.503661,,,,,,,,141.0,0.296875
0.046939,-0.163493,142.0,256.0,17.664225,2.0292,2.0292,0.0,142.0,,1.686945,0.128856,0.028303,10.0,0.283028,-0.446522,-0.446522,142.0,
,,143.0,256.0,,1.986144,1.986144,0.0,143.0,0.537612,,,,,,,,143.0,0.386719
0.04756,-0.213093,144.0,256.0,19.142717,1.98635,1.98635,0.0,144.0,,2.943452,0.128413,0.029735,10.0,0.297345,-0.510439,-0.510439,144.0,
,,145.0,256.0,,2.161453,2.161453,0.0,145.0,0.477095,,,,,,,,145.0,0.269531
0.045621,-0.229116,146.0,256.0,19.778912,2.150608,2.150608,0.0,146.0,,3.493716,0.117832,0.026326,10.0,0.263261,-0.492377,-0.492377,146.0,
,,147.0,256.0,,2.043167,2.043167,0.0,147.0,0.541442,,,,,,,,147.0,0.308594
0.052066,-0.270949,148.0,256.0,14.214009,1.891137,1.891137,0.0,148.0,,1.830594,0.124025,0.026334,10.0,0.263342,-0.534291,-0.534291,148.0,
,,149.0,256.0,,2.044387,2.044387,0.0,149.0,0.491156,,,,,,,,149.0,0.316406
0.041167,-0.253,150.0,256.0,23.882677,1.985163,1.985163,0.0,150.0,,1.526248,0.124565,0.025686,10.0,0.256859,-0.509859,-0.509859,150.0,
,,151.0,256.0,,1.933111,1.933111,0.0,151.0,0.516933,,,,,,,,151.0,0.296875
0.056238,-0.164613,152.0,256.0,22.577734,1.943192,1.943192,0.0,152.0,,2.663713,0.126607,0.031638,10.0,0.316377,-0.480991,-0.480991,152.0,
,,153.0,256.0,,2.112551,2.112551,0.0,153.0,0.511034,,,,,,,,153.0,0.335938
0.044187,-0.341751,154.0,256.0,18.18742,2.118311,2.118311,0.0,154.0,,1.503263,0.115433,0.019193,10.0,0.191933,-0.533684,-0.533684,154.0,
,,155.0,256.0,,1.930339,1.930339,0.0,155.0,0.517476,,,,,,,,155.0,0.292969
0.039908,-0.24292,156.0,256.0,20.097874,1.944356,1.944356,0.0,156.0,,1.862697,0.122569,0.025243,10.0,0.252432,-0.495352,-0.495352,156.0,
,,157.0,256.0,,1.968877,1.968877,0.0,157.0,0.556787,,,,,,,,157.0,0.351562
0.060453,-0.180797,158.0,256.0,19.347555,1.929448,1.929448,0.0,158.0,,1.77162,0.127964,0.029874,10.0,0.298738,-0.479536,-0.479536,158.0,
,,159.0,256.0,,2.243728,2.243728,0.0,159.0,0.569045,,,,,,,,159.0,0.304688
0.060397,-0.285022,160.0,256.0,46.440605,2.197912,2.197912,0.0,160.0,,1.641562,0.119241,0.022041,10.0,0.220413,-0.505436,-0.505436,160.0,
,,161.0,256.0,,2.110235,2.110235,0.0,161.0,0.510193,,,,,,,,161.0,0.308594
0.040379,-0.149359,162.0,256.0,43.422413,2.11827,2.11827,0.0,162.0,,4.255513,0.131401,0.037736,10.0,0.377364,-0.526723,-0.526723,162.0,
,,163.0,256.0,,1.93226,1.93226,0.0,163.0,0.533196,,,,,,,,163.0,0.3125
0.089382,-0.245857,164.0,256.0,28.498819,2.112444,2.112444,0.0,164.0,,1.561485,0.12408,0.025655,10.0,0.256547,-0.502403,-0.502403,164.0,
,,165.0,256.0,,1.8275,1.8275,0.0,165.0,0.574918,,,,,,,,165.0,0.371094
0.054764,-0.13127,166.0,256.0,19.445679,1.9835,1.9835,0.0,166.0,,5.486781,0.126802,0.038733,10.0,0.38733,-0.5186,-0.5186,166.0,
,,167.0,256.0,,2.017863,2.017863,0.0,167.0,0.482619,,,,,,,,167.0,0.300781
0.041949,-0.215632,168.0,256.0,16.988501,1.992222,1.992222,0.0,168.0,,2.097538,0.122073,0.026566,10.0,0.265657,-0.481289,-0.481289,168.0,
,,169.0,256.0,,2.139961,2.139961,0.0,169.0,0.55578,,,,,,,,169.0,0.335938
0.048251,-0.263817,170.0,256.0,16.285841,2.333582,2.333582,0.0,170.0,,1.598236,0.123144,0.025543,10.0,0.255428,-0.519245,-0.519245,170.0,
,,171.0,256.0,,1.941664,1.941664,0.0,171.0,0.556884,,,,,,,,171.0,0.324219
0.057054,-0.234836,172.0,256.0,12.66259,1.940634,1.940634,0.0,172.0,,1.553575,0.119114,0.022428,10.0,0.224277,-0.459113,-0.459113,172.0,
,,173.0,256.0,,1.752863,1.752863,0.0,173.0,0.577828,,,,,,,,173.0,0.390625
0.050458,-0.270202,174.0,256.0,14.017304,2.18618,2.18618,0.0,174.0,,1.749401,0.119858,0.023918,10.0,0.239181,-0.509382,-0.509382,174.0,
,,175.0,256.0,,2.031326,2.031326,0.0,175.0,0.512966,,,,,,,,175.0,0.273438
0.039566,-0.223907,176.0,256.0,14.499333,1.998258,1.998258,0.0,176.0,,3.642925,0.119744,0.023957,10.0,0.239575,-0.463482,-0.463482,176.0,
,,177.0,256.0,,1.898141,1.898141,0.0,177.0,0.55773,,,,,,,,177.0,0.34375
0.046055,-0.236145,178.0,256.0,42.939838,2.20734,2.20734,0.0,178.0,,1.714647,0.129137,0.031277,10.0,0.312766,-0.548911,-0.548911,178.0,
,,179.0,256.0,,1.971761,1.971761,0.0,179.0,0.526294,,,,,,,,179.0,0.3125
0.045636,-0.249519,180.0,256.0,32.142372,2.385206,2.385206,0.0,180.0,,1.797679,0.120148,0.022932,10.0,0.22932,-0.478839,-0.478839,180.0,
,,181.0,256.0,,1.951396,1.951396,0.0,181.0,0.530718,,,,,,,,181.0,0.304688
0.088144,-0.236863,182.0,256.0,21.48259,2.229158,2.229158,0.0,182.0,,1.54217,0.120597,0.024314,10.0,0.243137,-0.48,-0.48,182.0,
,,183.0,256.0,,2.070216,2.070216,0.0,183.0,0.495075,,,,,,,,183.0,0.335938
0.050242,-0.260597,184.0,256.0,18.164576,1.969793,1.969793,0.0,184.0,,1.762532,0.120641,0.024979,10.0,0.249792,-0.510389,-0.510389,184.0,
,,185.0,256.0,,2.184453,2.184453,0.0,185.0,0.560794,,,,,,,,185.0,0.34375
0.0434,-0.234582,186.0,256.0,19.44171,2.217065,2.217065,0.0,186.0,,1.59965,0.122522,0.024927,10.0,0.249272,-0.483854,-0.483854,186.0,
,,187.0,256.0,,2.391509,2.391509,0.0,187.0,0.505762,,,,,,,,187.0,0.292969
0.055027,-0.235562,188.0,256.0,37.736885,2.256564,2.256564,0.0,188.0,,1.782373,0.124302,0.026651,10.0,0.266512,-0.502074,-0.502074,188.0,
,,189.0,256.0,,2.293739,2.293739,0.0,189.0,0.484022,,,,,,,,189.0,0.273438
0.052757,-0.193462,190.0,256.0,26.973101,2.426966,2.426966,0.0,190.0,,1.724849,0.12479,0.026762,10.0,0.267622,-0.461084,-0.461084,190.0,
,,191.0,256.0,,2.168908,2.168908,0.0,191.0,0.542549,,,,,,,,191.0,0.304688
0.049803,-0.272131,192.0,256.0,24.39189,2.386016,2.386016,0.0,192.0,,1.635888,0.124023,0.025857,10.0,0.258572,-0.530703,-0.530703,192.0,
,,193.0,256.0,,2.003593,2.003593,0.0,193.0,0.520613,,,,,,,,193.0,0.28125
0.082004,-0.306189,194.0,256.0,19.078751,2.290683,2.290683,0.0,194.0,,1.667653,0.112694,0.018503,10.0,0.185025,-0.491214,-0.491214,194.0,
,,195.0,256.0,,2.30266,2.30266,0.0,195.0,0.464083,,,,,,,,195.0,0.273438
0.045607,-0.310122,196.0,256.0,19.871906,2.304024,2.304024,0.0,196.0,,1.733721,0.115218,0.022301,10.0,0.223008,-0.53313,-0.53313,196.0,
,,197.0,256.0,,2.179144,2.179144,0.0,197.0,0.521477,,,,,,,,197.0,0.285156
0.042475,-0.227846,198.0,256.0,32.920879,2.368594,2.368594,0.0,198.0,,1.750822,0.124243,0.025915,10.0,0.259149,-0.486995,-0.486995,198.0,
