actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.033996,-0.171549,124.0,256.0,23.96476,2.256534,2.256534,0.0,124.0,,1.635313,0.127737,0.029507,10.0,0.295067,-0.466616,-0.466616,124.0,
,,125.0,256.0,,2.159492,2.159492,0.0,125.0,0.514943,,,,,,,,125.0,0.269531
0.043227,-0.136329,126.0,256.0,34.379616,2.081482,2.081482,0.0,126.0,,6.987629,0.121665,0.031105,10.0,0.311049,-0.447379,-0.447379,126.0,
,,127.0,256.0,,1.854774,1.854774,0.0,127.0,0.547617,,,,,,,,127.0,0.375
0.053046,-0.246827,128.0,256.0,25.015423,2.074226,2.074226,0.0,128.0,,1.583429,0.118257,0.024142,10.0,0.24142,-0.488247,-0.488247,128.0,
,,129.0,256.0,,2.194548,2.194548,0.0,129.0,0.470764,,,,,,,,129.0,0.257812
0.03769,-0.208742,130.0,256.0,33.527782,2.45009,2.45009,0.0,130.0,,3.918374,0.122869,0.029662,10.0,0.296622,-0.505364,-0.505364,130.0,
,,131.0,256.0,,2.287738,2.287738,0.0,131.0,0.526579,,,,,,,,131.0,0.308594
0.035513,-0.168916,132.0,256.0,25.492941,1.964942,1.964942,0.0,132.0,,1.605929,0.129198,0.030558,10.0,0.305577,-0.474493,-0.474493,132.0,
,,133.0,256.0,,2.078906,2.078906,0.0,133.0,0.490933,,,,,,,,133.0,0.285156
0.038497,-0.221752,134.0,256.0,36.912807,2.253568,2.253568,0.0,134.0,,2.407046,0.120989,0.025814,10.0,0.258137,-0.479889,-0.479889,134.0,
,,135.0,256.0,,1.925879,1.925879,0.0,135.0,0.544641,,,,,,,,135.0,0.320312
0.035477,-0.305562,136.0,256.0,24.900599,2.009373,2.009373,0.0,136.0,,1.676482,0.115451,0.021352,10.0,0.213522,-0.519084,-0.519084,136.0,
,,137.0,256.0,,2.05872,2.05872,0.0,137.0,0.526061,,,,,,,,137.0,0.28125
0.044602,-0.144696,138.0,256.0,47.344425,2.231254,2.231254,0.0,138.0,,7.79749,0.117593,0.038363,10.0,0.383629,-0.528325,-0.528325,138.0,
,,139.0,256.0,,2.369551,2.369551,0.0,139.0,0.509428,,,,,,,,139.0,0.261719
0.037369,-0.250738,140.0,256.0,28.008318,2.242078,2.242078,0.0,140.0,,1.615057,0.117684,0.024015,10.0,0.240149,-0.490886,-0.490886,140.0,
,,141.0,256.0,,2.231533,2.231533,0.0,141.0,0.502698,,,,,,,,141.0,0.277344
0.055475,-0.148575,142.0,256.0,20.042847,2.131803,2.131803,0.0,142.0,,1.581678,0.123764,0.02762,10.0,0.276203,-0.424778,-0.424778,142.0,
,,143.0,256.0,,2.35946,2.35946,0.0,143.0,0.472084,,,,,,,,143.0,0.285156
0.105488,-0.225622,144.0,256.0,18.429392,2.224041,2.224041,0.0,144.0,,1.533947,0.119575,0.023571,10.0,0.235709,-0.461331,-0.461331,144.0,
,,145.0,256.0,,2.584973,2.584973,0.0,145.0,0.516061,,,,,,,,145.0,0.3125
0.055611,-0.252102,146.0,256.0,19.763153,2.233307,2.233307,0.0,146.0,,1.470203,0.118565,0.023189,10.0,0.231885,-0.483988,-0.483988,146.0,
,,147.0,256.0,,2.270854,2.270854,0.0,147.0,0.485312,,,,,,,,147.0,0.304688
0.107801,-0.258834,148.0,256.0,32.548248,2.6013,2.6013,0.0,148.0,,1.585448,0.120532,0.024191,10.0,0.241908,-0.500742,-0.500742,148.0,
,,149.0,256.0,,2.210511,2.210511,0.0,149.0,0.508894,,,,,,,,149.0,0.308594
0.052369,-0.233635,150.0,256.0,25.984327,2.272201,2.272201,0.0,150.0,,1.705698,0.123325,0.026216,10.0,0.262159,-0.495794,-0.495794,150.0,
